# start	end	fontsize	ypos	text        ("|" becomes a line break)
# Every line below is verbatim from Mariam's script, at the timings her script states.
# §1 script note: "On screen from frame one" / "At 0:05, replacing it"
0.0	5.0	54	h*0.76	One SKU price change can shift|the whole category.
5.0	8.0	72	h*0.76	+5% on your best seller.
# §3 script note: "On screen: Simulate. Then decide."
44.0	49.0	64	h*0.76	Simulate. Then decide.
# End card, script-stated 0:56-0:58
56.0	58.0	76	h*0.42	Smart Value AI Solutions|Price Optimizer|Predict before you decide.
56.0	58.0	30	h*0.70	Models validated against real market outcomes.
